_-clef	_-clef	_-clefs	_-clefs
_-clé	_-clé	_-clés	_-clés
_-né	_-née	_-nés	_-nées
abaissable	abaissable	abaissables	abaissables
abaissant	abaissante	abaissants	abaissantes
abaisseur	abaisseuse	abaisseurs	abaisseuses
abandonnique	abandonnique	abandonniques	abandonniques
abandonné	abandonnée	abandonnés	abandonnées
abasourdi	abasourdie	abasourdis	abasourdies
abasourdissant	abasourdissante	abasourdissants	abasourdissantes
abattu	abattue	abattus	abattues
abaxial	abaxiale	abaxiaux	abaxiales
abbasside	abbasside	abbassides	abbassides
abbatial	abbatiale	abbatiaux	abbatiales
abbevillien	abbevillienne	abbevilliens	abbevilliennes
abbevillois	abbevilloise	abbevillois	abbevilloises
abcédant	abcédante	abcédants	abcédantes
abdicataire	abdicataire	abdicataires	abdicataires
abdominal	abdominale	abdominaux	abdominales
abducteur	abductrice	abducteurs	abductrices
aberrant	aberrante	aberrants	aberrantes
abiotique	abiotique	abiotiques	abiotiques
abiétin	abiétine	abiétins	abiétines
abject	abjecte	abjects	abjectes
abjurant	abjurante	abjurants	abjurantes
abkhaze	abkhaze	abkhazes	abkhazes
ablatif	ablative	ablatifs	ablatives
aboli	abolie	abolis	abolies
abolitionniste	abolitionniste	abolitionnistes	abolitionnistes
abominable	abominable	abominables	abominables
abondanciste	abondanciste	abondancistes	abondancistes
abondant	abondante	abondants	abondantes
abonné	abonnée	abonnés	abonnées
abordable	abordable	abordables	abordables
abordé	abordée	abordés	abordées
aborigène	aborigène	aborigènes	aborigènes
abortif	abortive	abortifs	abortives
aboulique	aboulique	abouliques	abouliques
abouti	aboutie	aboutis	abouties
aboutissant	aboutissante	aboutissants	aboutissantes
abouté	aboutée	aboutés	aboutées
abracadabrant	abracadabrante	abracadabrants	abracadabrantes
abrasif	abrasive	abrasifs	abrasives
abricoté	abricotée	abricotés	abricotées
abrité	abritée	abrités	abritées
abrogatif	abrogative	abrogatifs	abrogatives
abrogatoire	abrogatoire	abrogatoires	abrogatoires
abrogeable	abrogeable	abrogeables	abrogeables
abrupt	abrupte	abrupts	abruptes
abruti	abrutie	abrutis	abruties
abrutissant	abrutissante	abrutissants	abrutissantes
abréviatif	abréviative	abréviatifs	abréviatives
abscons	absconse	abscons	absconses
absent	absente	absents	absentes
absentéiste	absentéiste	absentéistes	absentéistes
absidal	absidale	absidaux	absidales
absolu	absolue	absolus	absolues
absolutiste	absolutiste	absolutistes	absolutistes
absolutoire	absolutoire	absolutoires	absolutoires
absorbable	absorbable	absorbables	absorbables
absorbant	absorbante	absorbants	absorbantes
absorbé	absorbée	absorbés	absorbées
abstentionniste	abstentionniste	abstentionnistes	abstentionnistes
abstinent	abstinente	abstinents	abstinentes
abstracteur	abstractrice	abstracteurs	abstractrices
abstrait	abstraite	abstraits	abstraites
abstrus	abstruse	abstrus	abstruses
abstème	abstème	abstèmes	abstèmes
absurde	absurde	absurdes	absurdes
abusif	abusive	abusifs	abusives
abyssal	abyssale	abyssaux	abyssales
abyssin	abyssine	abyssins	abyssines
abyssinien	abyssinienne	abyssiniens	abyssiniennes
abécédaire	abécédaire	abécédaires	abécédaires
abélien	abélienne	abéliens	abéliennes
abêtissant	abêtissante	abêtissants	abêtissantes
abîmant	abîmante	abîmants	abîmantes
abîmé	abîmée	abîmés	abîmées
acadien	acadienne	acadiens	acadiennes
académique	académique	académiques	académiques
acariâtre	acariâtre	acariâtres	acariâtres
acaule	acaule	acaules	acaules
accablant	accablante	accablants	accablantes
accaparant	accaparante	accaparants	accaparantes
accapareur	accapareuse	accapareurs	accapareuses
accentuel	accentuelle	accentuels	accentuelles
accentué	accentuée	accentués	accentuées
acceptable	acceptable	acceptables	acceptables
acceptant	acceptante	acceptants	acceptantes
accepteur	acceptrice	accepteurs	acceptrices
accessible	accessible	accessibles	accessibles
accessoire	accessoire	accessoires	accessoires
accidentel	accidentelle	accidentels	accidentelles
accidenté	accidentée	accidentés	accidentées
acclimatable	acclimatable	acclimatables	acclimatables
accolé	accolée	accolés	accolées
accommodant	accommodante	accommodants	accommodantes
accommodateur	accommodatrice	accommodateurs	accommodatrices
accommodé	accommodée	accommodés	accommodées
accompagné	accompagnée	accompagnés	accompagnées
accompli	accomplie	accomplis	accomplies
accordable	accordable	accordables	accordables
accore	accore	accores	accores
accort	accorte	accorts	accortes
accostable	accostable	accostables	accostables
accoucheur	accoucheuse	accoucheurs	accoucheuses
accoudé	accoudée	accoudés	accoudées
accouplé	accouplée	accouplés	accouplées
accourci	accourcie	accourcis	accourcies
accoutumé	accoutumée	accoutumés	accoutumées
accrescent	accrescente	accrescents	accrescentes
accro	accro	accros	accros
accrocheur	accrocheuse	accrocheurs	accrocheuses
accru	accrue	accrus	accrues
accréditant	accréditante	accréditants	accréditantes
accréditif	accréditive	accréditifs	accréditives
accrédité	accréditée	accrédités	accréditées
accueillant	accueillante	accueillants	accueillantes
accumulateur	accumulatrice	accumulateurs	accumulatrices
accumulé	accumulée	accumulés	accumulées
accusateur	accusatrice	accusateurs	accusatrices
accusatoire	accusatoire	accusatoires	accusatoires
accélérateur	accélératrice	accélérateurs	accélératrices
accéléré	accélérée	accélérés	accélérées
acerbe	acerbe	acerbes	acerbes
acescent	acescente	acescents	acescentes
achalandé	achalandée	achalandés	achalandées
acharné	acharnée	acharnés	acharnées
achetable	achetable	achetables	achetables
acheteur	acheteuse	acheteurs	acheteuses
acheuléen	acheuléenne	acheuléens	acheuléennes
achevé	achevée	achevés	achevées
achromatique	achromatique	achromatiques	achromatiques
achrome	achrome	achromes	achromes
achromique	achromique	achromiques	achromiques
achéen	achéenne	achéens	achéennes
achéménide	achéménide	achéménides	achéménides
aciculaire	aciculaire	aciculaires	aciculaires
acide	acide	acides	acides
